org_name,recipient_id,demo_year,state,service_area__c,service_area_type__c,Groups,Men,Other_gender,Unknown_gender,Women,age_0_17,age_18_35,age_18_59,age_36_59,age_60_and_Over,Unknown_age,Asian,Black,Hispanic,Native_American,Other_ethnicity,Unknown_ethnicity,White,Non_Veteran,Unknown_veteran,Veteran,Asian_0_17,Asian_18_35,Asian_18_59,Asian_36_59,Asian_60 and Over,Asian_Unknown,Black_0_17,Black_18_35,Black_18_59,Black_36_59,Black_60 and Over,Black_Unknown,Hispanic_0_17,Hispanic_18_35,Hispanic_18_59,Hispanic_36_59,Hispanic_60 and Over,Hispanic_Unknown,Native American_0_17,Native American_18_35,Native American_18_59,Native American_36_59,Native American_60 and Over,Native American_Unknown,Other_0_17,Other_18_35,Other_18_59,Other_36_59,Other_60 and Over,Other_Unknown,Unknown_0_17,Unknown_18_35,Unknown_36_59,Unknown_60 and Over,Unknown_Unknown,White_0_17,White_18_35,White_18_59,White_36_59,White_60 and Over,White_Unknown
Legal Aid of the Bluegrass,618004,2012,KY,KY-10,Basic Field,1,469,NA,NA,1828,18,NA,1853,NA,427,NA,10,291,68,12,48,NA,1869,1751,NA,145,0,NA,9,NA,1,NA,1,NA,246,NA,44,NA,3,NA,62,NA,3,NA,0,NA,12,NA,0,NA,1,NA,38,NA,9,NA,NA,NA,NA,NA,NA,13,NA,1486,NA,370,NA
Legal Aid of the Bluegrass,618004,2013,KY,KY-10,Basic Field,0,443,NA,NA,1603,35,NA,1548,NA,463,NA,9,287,47,4,52,NA,1647,1892,NA,154,0,NA,5,NA,4,NA,2,NA,229,NA,56,NA,0,NA,44,NA,3,NA,0,NA,3,NA,1,NA,1,NA,43,NA,8,NA,NA,NA,NA,NA,NA,32,NA,1224,NA,391,NA
Legal Aid of the Bluegrass,618004,2014,KY,KY-10,Basic Field,0,669,NA,NA,2115,55,837,NA,1083,809,NA,20,347,51,7,32,NA,2327,2572,NA,212,1,7,NA,8,4,NA,9,98,NA,167,73,NA,2,33,NA,15,1,NA,0,2,NA,2,3,NA,0,13,NA,9,10,NA,NA,NA,NA,NA,NA,43,684,NA,882,718,NA
Legal Aid of the Bluegrass,618004,2015,KY,KY-10,Basic Field,0,979,0,NA,2754,63,976,NA,1302,1392,NA,17,498,100,7,57,NA,3054,3405,NA,328,0,7,NA,1,9,NA,10,154,NA,208,126,NA,9,54,NA,26,11,NA,0,2,NA,2,3,NA,3,28,NA,19,7,NA,NA,NA,NA,NA,NA,41,731,NA,1046,1236,NA
Legal Aid of the Bluegrass,618004,2016,KY,KY-10,Basic Field,0,854,0,NA,2406,49,840,NA,1195,1176,NA,16,463,81,11,50,NA,2639,3017,NA,243,0,1,NA,7,8,NA,2,132,NA,191,138,NA,4,46,NA,21,10,NA,0,1,NA,4,6,NA,2,27,NA,14,7,NA,NA,NA,NA,NA,NA,41,633,NA,958,1007,NA
Legal Aid of the Bluegrass,618004,2017,KY,KY-10,Basic Field,NA,879,0,0,2469,81,829,NA,1208,1230,0,15,448,71,10,53,6,2745,2899,218,231,0,6,NA,2,7,0,10,127,NA,191,120,0,4,34,NA,26,7,0,0,2,NA,1,7,0,4,17,NA,24,8,0,0,0,2,4,0,63,643,NA,962,1077,0
"Legal Aid of West Virginia, Inc.",449041,2008,WV,MWV,Migrant Worker,0,1,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Legal Aid of West Virginia, Inc.",449041,2008,WV,WV-5,Basic Field,3,1212,NA,NA,3879,94,NA,4656,NA,344,NA,10,287,22,9,330,NA,4436,NA,NA,NA,NA,NA,10,NA,NA,NA,3,NA,263,NA,21,NA,NA,NA,22,NA,NA,NA,NA,NA,9,NA,NA,NA,15,NA,297,NA,18,NA,NA,NA,NA,NA,NA,76,NA,4055,NA,305,NA
"Legal Aid of West Virginia, Inc.",449041,2009,WV,MWV,Migrant Worker,0,2,NA,NA,0,0,NA,2,NA,0,NA,0,0,2,0,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
"Legal Aid of West Virginia, Inc.",449041,2009,WV,WV-5,Basic Field,1,1493,NA,NA,4351,89,NA,5414,NA,342,NA,13,338,48,12,366,NA,5068,NA,NA,NA,1,NA,12,NA,0,NA,3,NA,310,NA,25,NA,1,NA,46,NA,1,NA,0,NA,12,NA,0,NA,9,NA,351,NA,6,NA,NA,NA,NA,NA,NA,75,NA,4683,NA,310,NA
"Legal Aid of West Virginia, Inc.",449041,2010,WV,MWV,Migrant Worker,0,3,NA,NA,0,0,NA,3,NA,0,NA,0,0,3,0,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
